scenario_idx,K,theta_1,theta_2,tau2_val,rho_b,rho_w,delta_sim,p1,select_type,delta_est,N_Successful,N_Attempts,Failure_Rate,Avg_Redraws,Bias_Full,MSE_Full,Coverage_Full,CI_Width_Full,Bias_Naive_Biv,MSE_Naive_Biv,Coverage_Naive_Biv,CI_Width_Naive_Biv,Bias_Adj_Uni,MSE_Adj_Uni,Coverage_Adj_Uni,CI_Width_Adj_Uni,Bias_Adj_Biv,MSE_Adj_Biv,Coverage_Adj_Biv,CI_Width_Adj_Biv,Fail_Rate_Biv
28,6,0.4,0.4,0.02,0.4,0.4,0.4,0.2,zscore,0.4,1900,2751,0.3093420574336605,0.1463157894736842,-0.007062675172774313,0.009951257370623657,0.9510526315789474,0.39056808712944985,0.02010086421472823,0.013264831086889717,0.9494736842105264,0.4467273960895583,-0.016057619412735424,0.014055880413881573,0.9305263157894736,0.44725710165078003,-0.010576439395863002,0.01257183347191152,0.9478947368421052,0.4317117166486069,0
29,12,0.4,0.4,0.02,0.4,0.4,0.4,0.2,zscore,0.4,1900,2090,0.09090909090909091,5.263157894736842e-4,-0.004466947288244927,0.0049177804322672524,0.9505263157894737,0.2758290439786491,0.020612970451213575,0.006540249920706312,0.9494736842105264,0.3109936388748986,-0.008514847000680392,0.00683181475017374,0.9257894736842105,0.3022123748163232,-0.007089214209033634,0.006323671757758822,0.9431578947368421,0.3012498412654186,0
30,25,0.4,0.4,0.02,0.4,0.4,0.4,0.2,zscore,0.4,1900,1907,0.0036706869428421605,0,-4.160634266806018e-4,0.0023255407246111507,0.9515789473684211,0.19114921906078453,0.021183657185304294,0.003161931171305045,0.9436842105263158,0.21296598850542695,-0.003770386978651119,0.002951159807414446,0.9331578947368421,0.20492967172050278,-0.00403155207673267,0.002788347026764233,0.9436842105263158,0.20658155879178008,0
31,6,0.4,0.4,0.06,0.4,0.4,0.4,0.2,zscore,0.4,1900,2901,0.34505342985177523,0.11842105263157894,-0.010766822195333037,0.016220978252201937,0.9578947368421052,0.5053112943621595,0.031496930181670046,0.021187384533057248,0.9578947368421052,0.5750346633547336,-0.019888322500962508,0.02258564187183129,0.8963157894736842,0.5352773476313566,-0.01877532870222881,0.020416870853151487,0.9531578947368421,0.5562522362990111,0
32,12,0.4,0.4,0.06,0.4,0.4,0.4,0.2,zscore,0.4,1900,2121,0.10419613389910419,5.263157894736842e-4,-0.003420281283075588,0.008546850488466045,0.9510526315789474,0.35721482756757644,0.034813255015166245,0.011547005217570508,0.9415789473684211,0.4005272266761335,-0.009160466972492565,0.012080104115419456,0.9026315789473685,0.37629120090957197,-0.009153040771535725,0.010900179756309946,0.9421052631578948,0.3876419332390715,0
33,25,0.4,0.4,0.06,0.4,0.4,0.4,0.2,zscore,0.4,1900,1920,0.010416666666666666,0,-0.0021850635560592413,0.00415917896884192,0.9463157894736842,0.24748682595479443,0.030758650301509205,0.005722264035033767,0.9326315789473684,0.2731225233658027,-0.005366528180366148,0.005255295211535163,0.9231578947368421,0.257243269455878,-0.00680221319336044,0.005104607706053992,0.9373684210526316,0.26454611815696505,0
34,6,0.4,0.4,0.36,0.4,0.4,0.4,0.2,zscore,0.4,1900,2775,0.3153153153153153,0.12789473684210526,-0.033521180681675644,0.06434821575896492,0.96,1.012009025512436,0.11738804160448468,0.09429924929122181,0.9389473684210526,1.1551465096546656,-0.04755699850801326,0.10043997531076328,0.8457894736842105,0.9534611141799073,-0.07902573430515991,0.09176934555028772,0.9310526315789474,1.099296742751539,0
35,12,0.4,0.4,0.36,0.4,0.4,0.4,0.2,zscore,0.4,1900,2090,0.09090909090909091,0,-0.006883946736698732,0.032121672990597136,0.9494736842105264,0.7155915250733949,0.12715144777479281,0.05189661272242186,0.9278947368421052,0.8044968510582055,-0.011447193024564484,0.04307056744900736,0.8852631578947369,0.6893931787598778,-0.034373943836618126,0.04439890900010921,0.9226315789473685,0.7559321793225297,0
36,25,0.4,0.4,0.36,0.4,0.4,0.4,0.2,zscore,0.4,1900,1916,0.008350730688935281,0,0.0025762814174022375,0.0161272342286194,0.9510526315789474,0.4957852957676591,0.12313637001743472,0.032202911868658944,0.8742105263157894,0.5497719364948093,0.013681075009897126,0.018907533566999486,0.9010526315789473,0.4696123644598882,-0.00806741196943983,0.01955627474874872,0.9321052631578948,0.5116104277496158,0
37,6,0.4,0.4,0,0.4,0.4,0.6000000000000001,0.2,zscore,0.6000000000000001,1900,2514,0.24423229912490055,0.16631578947368422,-0.005131274551595788,0.006147942464818969,0.9578947368421052,0.31712808217145905,0.022123950986106256,0.008762564500846455,0.9484210526315789,0.3640491520028783,-0.01811549765665782,0.009012021820354172,0.9573684210526315,0.3912352729084577,-0.010042388311546635,0.008190751551604635,0.9478947368421052,0.3515007883058109,0
38,12,0.4,0.4,0,0.4,0.4,0.6000000000000001,0.2,zscore,0.6000000000000001,1900,1997,0.0485728592889334,0,-6.460362965624022e-4,0.0032749402064515226,0.9505263157894737,0.22380665978935177,0.024394428181287398,0.004778601376212984,0.9310526315789474,0.2555477182797432,-0.012027415886165738,0.005047809929560312,0.9421052631578948,0.266916459584201,-0.00597558874118953,0.004375939088602395,0.9363157894736842,0.24588330341132203,0
39,25,0.4,0.4,0,0.4,0.4,0.6000000000000001,0.2,zscore,0.6000000000000001,1900,1904,0.0021008403361344537,0,4.531822543458741e-4,0.001604753992310494,0.9489473684210527,0.15510165310804575,0.02428766334235638,0.002520652313402577,0.9247368421052632,0.17566098360702795,-0.006737664432719004,0.0021855752459465404,0.9457894736842105,0.17775046685911233,-0.00348051802035787,0.0019782802340610702,0.9426315789473684,0.16813297147787,0
40,6,0.4,0.4,0.02,0.4,0.4,0.6000000000000001,0.2,zscore,0.6000000000000001,1900,2775,0.3153153153153153,0.14210526315789473,-0.003914962688101042,0.009395382085155272,0.958421052631579,0.3905168186787668,0.03436955696844318,0.013390559802461056,0.9426315789473684,0.4465011353148567,-0.0161150435946667,0.013903653033210525,0.9226315789473685,0.43477958446563664,-0.012576784820625908,0.012376443692675591,0.9510526315789474,0.43078211456338106,0
41,12,0.4,0.4,0.02,0.4,0.4,0.6000000000000001,0.2,zscore,0.6000000000000001,1900,2067,0.08079342041606193,0,-0.0012689698040568298,0.0048750597168384785,0.9542105263157895,0.27602670741012114,0.0324480551833482,0.007101848975903861,0.9442105263157895,0.31218221243315597,-0.009759488051439558,0.007251335565225744,0.9168421052631579,0.29555351660916196,-0.009056509461781492,0.006569491583882498,0.9352631578947368,0.2998188753426579,0
42,25,0.4,0.4,0.02,0.4,0.4,0.6000000000000001,0.2,zscore,0.6000000000000001,1900,1907,0.0036706869428421605,0,0.0010582214671001622,0.0022396963261409886,0.9642105263157895,0.19114304924974465,0.03357347509048164,0.003857234488473635,0.9105263157894737,0.21286412719254325,-8.411280406179777e-4,0.003021408393687454,0.9268421052631579,0.19798962029304878,-0.0031924962868363216,0.002894713048039121,0.9478947368421052,0.20418372230533574,0
43,6,0.4,0.4,0.06,0.4,0.4,0.6000000000000001,0.2,zscore,0.6000000000000001,1900,2919,0.3490921548475505,0.11368421052631579,-0.010974432640154796,0.016484340528157462,0.9478947368421052,0.5054477723836556,0.04724362301652579,0.022381778219019273,0.9463157894736842,0.5750716159824691,-0.022615055010603846,0.02374639693817673,0.8773684210526316,0.5147489844611759,-0.026306186209555216,0.021362514320926132,0.9405263157894737,0.5536882605465583,0
44,12,0.4,0.4,0.06,0.4,0.4,0.6000000000000001,0.2,zscore,0.6000000000000001,1900,2125,0.10588235294117647,0,-0.001503557235638886,0.007961042451782252,0.9536842105263158,0.35722596386665684,0.05038260730767169,0.011884994518897485,0.9331578947368421,0.39967204955040125,-0.005868562089848484,0.01086705354416037,0.9036842105263158,0.3585848133716724,-0.01222796470819909,0.010679232621577084,0.9415789473684211,0.38295073721007306,0
45,25,0.4,0.4,0.06,0.4,0.4,0.6000000000000001,0.2,zscore,0.6000000000000001,1900,1915,0.007832898172323759,0,-4.191479148080157e-5,0.003915679932418711,0.9578947368421052,0.24750001103248814,0.045209275435715623,0.0064443036246500775,0.9089473684210526,0.27299411541732715,-0.0015224867696695954,0.004990068083758525,0.9026315789473685,0.2453800699644746,-0.006446526590965174,0.004770989061508484,0.9410526315789474,0.2597958570991529,0
46,6,0.4,0.4,0.36,0.4,0.4,0.6000000000000001,0.2,zscore,0.6000000000000001,1900,2707,0.2981159955670484,0.13315789473684211,-0.030851387033211608,0.05391767289970188,0.9694736842105263,1.012004632728172,0.15655281214142802,0.09296206567086095,0.9421052631578948,1.1546796054076098,-0.04471798563065654,0.08126250273995939,0.8447368421052631,0.8882585897589732,-0.10518318543626476,0.08650996286091324,0.9278947368421052,1.0700438556195981,0
47,12,0.4,0.4,0.36,0.4,0.4,0.6000000000000001,0.2,zscore,0.6000000000000001,1900,2041,0.06908378245957864,0,-0.009185906899279228,0.032556728163738585,0.9578947368421052,0.715627375130724,0.16659418568219753,0.060899828351102046,0.9026315789473685,0.8129867606517773,-3.5840010321780413e-4,0.04056680475298538,0.881578947368421,0.6345417383598106,-0.045268491957423385,0.04385440152227093,0.9231578947368421,0.7358757944439646,0
48,25,0.4,0.4,0.36,0.4,0.4,0.6000000000000001,0.2,zscore,0.6000000000000001,1900,1911,0.0057561486132914706,0,-7.480504887297235e-5,0.015779745740971074,0.95,0.4957768007086943,0.16151155348009516,0.0408915824968899,0.8315789473684211,0.5556210804057904,0.037241947035613954,0.01832862867024105,0.8805263157894737,0.43501549465020184,1.6914633616804675e-4,0.017721122182794626,0.9436842105263158,0.501436600550146,0
49,6,0.4,0.4,0,0.4,0.4,0.8,0.2,zscore,0.8,1900,2471,0.2310805341966815,0.19473684210526315,1.7439001482866257e-4,0.0063291958529879495,0.9557894736842105,0.3166302152620832,0.033134589932869274,0.009264821992200337,0.9394736842105263,0.3631287869220647,-0.019798738947952754,0.00950835264493171,0.9547368421052631,0.3869262651090903,-0.009653166368667088,0.008292552400153919,0.95,0.3495151984682116,0
50,12,0.4,0.4,0,0.4,0.4,0.8,0.2,zscore,0.8,1900,1992,0.04618473895582329,0,-9.151937185719605e-4,0.0030933633790986405,0.9568421052631579,0.22408828387296217,0.03157629031901582,0.004716050992638776,0.9410526315789474,0.25795937225273113,-0.01673000264015112,0.0049677339348256026,0.9421052631578948,0.26191606824036473,-0.0095980141741977,0.004261288631702912,0.9421052631578948,0.24477327939685942,0
51,25,0.4,0.4,0,0.4,0.4,0.8,0.2,zscore,0.8,1900,1902,0.0010515247108307045,0,5.984334769123523e-4,0.0015659401014549866,0.9563157894736842,0.15508722632002042,0.03287028390318869,0.002956123543016442,0.8952631578947369,0.17683533007772656,-0.006944207779754408,0.002281753680717718,0.9321052631578948,0.1728306405036195,-0.0043127149400647435,0.002040634884251575,0.9363157894736842,0.1658156879859272,0
52,6,0.4,0.4,0.02,0.4,0.4,0.8,0.2,zscore,0.8,1900,2646,0.2819349962207105,0.1405263157894737,-0.010690026243772632,0.009323630883171218,0.9578947368421052,0.3903501134257407,0.03763991250953613,0.013631832942629653,0.9463157894736842,0.44731934537907525,-0.027961676754051867,0.014761320909323633,0.9173684210526316,0.4269261465031593,-0.025283858347548704,0.012990979486633232,0.9394736842105263,0.4294435283387237,0
53,12,0.4,0.4,0.02,0.4,0.4,0.8,0.2,zscore,0.8,1900,2066,0.0803484995159729,0,-2.809769378330218e-4,0.005167719508706528,0.9426315789473684,0.27596798859506644,0.04285634528248089,0.007852880404914594,0.9278947368421052,0.3116216003929547,-0.008788979635588057,0.007272572441477375,0.9036842105263158,0.28716055678206814,-0.009773259015039837,0.006800708658364808,0.9236842105263158,0.29627993574152445,0
54,25,0.4,0.4,0.02,0.4,0.4,0.8,0.2,zscore,0.8,1900,1907,0.0036706869428421605,0,0.0017812054196514882,0.0025045181681310536,0.9394736842105263,0.19108105727221752,0.04181310458461657,0.0044535388190761,0.88,0.21341736167587944,-2.056965814498657e-4,0.003076129473996659,0.9142105263157895,0.19254314834387834,-0.0039041087568694732,0.003071181928173106,0.9336842105263158,0.2004479366584431,0
55,6,0.4,0.4,0.06,0.4,0.4,0.8,0.2,zscore,0.8,1900,2927,0.35087119918004783,0.13526315789473684,-0.011332986214959373,0.015584989079400391,0.9531578947368421,0.505324089422426,0.06181293820349326,0.02315103080748541,0.9405263157894737,0.5753354665536777,-0.023879655384743126,0.023265139591092762,0.8821052631578947,0.4990841854674792,-0.03451357237138475,0.021500594379232525,0.94,0.5485586341591046,0
56,12,0.4,0.4,0.06,0.4,0.4,0.8,0.2,zscore,0.8,1900,2110,0.0995260663507109,0,-0.005947129142324481,0.008179433715516604,0.9505263157894737,0.3573560366417976,0.05810242692393941,0.01241096512356511,0.9321052631578948,0.40159523205426484,-0.01030833226068284,0.010830170394578474,0.8836842105263157,0.34428655410225545,-0.022083433222831184,0.011212216029258076,0.9247368421052632,0.37721587382766164,0
